Image annotation evaluation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,,,,,
,,5,3,2,5,1,1,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,,,
,8500959248,Sun,Electromagnetic radiation,Twilight,Meteorology,Light,Lake,Atmosphere of Earth,Czech language,Earth,Sea,Prague,Secondary growth,Burn (topography),Rill,Administrative region,Chemical,Cloud physics
,"3,1176470588",4,4,1,4,1,2,4,3,3,2,1,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,
,5471937240,Weathering,Erosion,Limestone,Burn (topography),Snowflake,Rill,Freshwater,States of Germany,Electromagnetic radiation,Capital city,Daytime (astronomy),Central Europe,Clastic sedimentary rock,Immigration to Germany,,,
,"3,4285714286",2,3,4,4,3,3,3,3,4,5,3,2,4,5,,,
,,,,,,,,,,,,,,,,,,
,6583459523,The Hague,Wall,States General of the Netherlands,Additive primary colors,Cabinet of the Netherlands,Amsterdam,Month,RGB color model,,,,,,,,,
,3,5,4,4,2,3,1,2,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,7294796514,Leaf,Genus,Plant,Plant propagation,Electromagnetic radiation,Light,Species,Temperateness,Mediterranean region,Horizon,Biennial plant,Annual plant,Perennial plant,Diffuse reflection,,,
,"2,2857142857",1,2,2,2,4,2,3,2,1,3,2,2,3,3,,,
,,,,,,,,,,,,,,,,,,
,5829342747,Wall,Bricklayer,Social change,Queen's Sitting Room,States of Germany,Dwelling,Electromagnetic radiation,Capital city,,,,,,,,,
,"2,625",1,2,1,4,4,2,4,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"2,8913865546","2,6",3,"2,4",,,,,,,,,,,,,,
