Image annotation evaluation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,,,,,,,
To achieve that simply answer this question��: �� Does this tag describe the image��?����,,,,,,,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,,,,,,,
,,5,3,2,5,1,1,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,,,,,
,5345646174,Earth,atmosphere,plant,radiation,Germany,part,horizon,country,area,Sun,Netherlands,,,,,,,,
,"2,2727272727",1,1,4,5,3,1,2,3,1,1,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,8663995647,country,Earth,branch,space,end,water,settlement,body,capital,light,horizon,case,law,sea,English,surface,Old,structure,atmosphere
,"2,0526315789",3,1,3,4,2,1,2,3,1,1,3,3,3,2,3,1,1,1,1
,,,,,,,,,,,,,,,,,,,,
,5289838147,city,Republic,material,Germany,Europe,capital,sunlight,States,country,United,state,area,,,,,,,
,"2,25",1,1,1,1,1,2,1,5,3,5,5,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,4789725671,surface,atmosphere,water,animal,Earth,lawn,everything,��d�Ճ�rm��ni,info,city,,,,,,,,,
,"2,5",1,1,1,5,1,2,3,3,3,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,3626704428,area,time,combination,radiation,television,material,light,horizon,object,Sun,Earth,,,,,,,,
,"2,6363636364",2,3,4,5,3,1,3,3,1,1,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"2,3423444976","1,6","1,4","2,6",,,,,,,,,,,,,,,,
