Image annotation evaluation,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,,,
,,5,3,2,5,1,1,2,,,,,,,,
,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,
,6352587265,animal,feature,year,plant,species,part,Germany,change,North,country,Netherlands,Earth,Dutch,,
,"2,7692307692",1,5,5,2,2,3,5,3,3,2,1,3,1,,
,,,,,,,,,,,,,,,,
,2093319410,feature,image,use,gravel,landform,meaning,material,body,condition,lake,example,area,sea,rock,center
,"3,3333333333",3,2,5,2,2,5,4,4,5,3,5,4,3,2,1
,,,,,,,,,,,,,,,,
,5345646174,Earth,atmosphere,plant,radiation,Germany,part,horizon,country,area,Sun,Netherlands,,,,
,"2,1818181818",2,2,1,2,5,3,1,3,3,1,1,,,,
,,,,,,,,,,,,,,,,
,5481225210,person,city,seat,art,region,Germany,German,jurisdiction,republic,country,,,,,
,"3,1",2,2,5,4,5,2,2,3,3,3,,,,,
,,,,,,,,,,,,,,,,
,8255144372,surface,weather,structure,form,art,atmosphere,branch,space,painting,water,settlement,meaning,body,,
,"3,7692307692",3,4,5,5,4,2,3,3,5,5,2,3,5,,
,,,,,,,,,,,,,,,,
,"3,0307226107","2,2",3,"4,2",,,,,,,,,,,,
