Image annotation evaluation,,,,,,,,,,,,
,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,
,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,
,,5,3,2,5,1,1,2,,,,
,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,
,8609534738,organism,building complex,owl#thing,vascular plant,measure,living thing,cognition,structure,whole,artifact,
,"3,4",2,5,5,3,3,2,3,3,4,4,
,,,,,,,,,,,,
,5756965251,tract,hour,beginning,clock time,state,property,reading,datum,information,message,
,"3,8",2,3,2,3,4,4,5,5,5,5,
,,,,,,,,,,,,
,6583459523,owl#thing,state,attribute,measure,abstraction,null,political unit,point,act,cognition,artifact
,"4,8",5,5,5,5,5,3,5,5,5,5,
,,,,,,,,,,,,
,4104637153,property,happening,owl#thing,attribute,concept,null,possession,material,relation,substance,
,"3,6",5,5,5,2,1,2,5,5,5,1,
,,,,,,,,,,,,
,6709238675,populatedplace,place,location,atmospheric phenomenon,state,representation,physical phenomenon,activity,content,creation,
,"2,8",5,1,2,2,2,3,2,4,4,3,
,,,,,,,,,,,,
,"3,68","3,8","3,8","3,8",,,,,,,,
