Image annotation evaluation,,,,,,,,,,,,,
,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,
,,5,3,2,5,1,1,2,,,,,
,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,
,4329198265,person,place,location,causal agent,organism,owl#thing,physical entity,controlled substance,living thing,entity,matter,whole
,"4,0833333333",2,1,2,4,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,
,5236041578,owl#thing,abstraction,cognition,artifact,part,state,entity,psychological feature,communication,tune,,
,"4,2",5,4,4,1,5,5,3,5,5,5,,
,,,,,,,,,,,,,
,4104637153,owl#thing,property,attribute,happening,material,null,concept,possession,substance,relation,,
,"2,9",5,2,4,3,5,1,1,3,1,4,,
,,,,,,,,,,,,,
,5471937240,place,location,stream,substance,natural object,material,null,lurch,physical entity,entity,,
,"3,1",1,2,1,4,1,4,5,5,5,3,,
,,,,,,,,,,,,,
,5858750605,person,causal agent,organism,state,physical entity,motion,living thing,abstraction,entity,whole,null,
,4,1,5,5,3,5,5,5,1,5,5,5,
,,,,,,,,,,,,,
,"3,6566666667","2,8","2,8","3,2",,,,,,,,,
