Image annotation evaluation,,,,,,,,,,,,,
,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,
,,5,3,2,5,1,1,2,,,,,
,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,
,5547951108,building,owl#thing,structure,artifact,cognition,body part,constitution,part,whole,psychological feature,tune,property
,3,1,3,1,4,4,5,4,3,2,4,4,1
,,,,,,,,,,,,,
,5387106851,person,causal agent,organism,owl#thing,physical entity,activity,null,living thing,entity,whole,,
,"2,3",1,3,2,3,1,1,3,1,4,4,,
,,,,,,,,,,,,,
,6882319009,place,location,populatedplace,owl#thing,topographic point,state,point,attribute,act,abstraction,cognition,
,"2,6363636364",1,1,2,3,1,2,3,4,4,4,4,
,,,,,,,,,,,,,
,7107467545,place,populatedplace,location,owl#thing,cognition,representation,artifact,part,activity,content,creation,
,"3,0909090909",1,4,1,3,3,4,4,4,4,2,4,
,,,,,,,,,,,,,
,4490899335,owl#thing,state,person,object,maneuver,act,null,physical entity,substance,point,artifact,
,3,3,3,5,1,4,4,2,4,4,2,1,
,,,,,,,,,,,,,
,"2,8054545455","1,4","2,8","2,2",,,,,,,,,
