Image annotation evaluation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,,,,,
,,5,3,2,5,1,1,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,,,
,5831358159,time unit,person,floral leaf,sidereal time,wilderness,pictorial representation,petal,day,originality,,,,,,,,
,"3,4444444444",5,5,3,5,2,3,1,4,3,,,,,,,,
,,,,,,,,,,,,,,,,,,
,8500959248,location,physical phenomenon,place,hour,pictorial representation,wilderness,remark,likeness,atmospheric phenomenon,structure,reflection_%28physics%29,populatedplace,czech_republic,swarm,scenery,sky,illuminated_manuscript
,"3,1764705882",1,4,1,2,3,4,5,5,3,4,5,2,3,4,2,1,5
,,,,,,,,,,,,,,,,,,
,7294796514,pictorial representation,wilderness,eukaryote,colour,location,atmospheric phenomenon,newness,place,populatedplace,herb,freshness,time period,novelty,species,,,
,"3,2142857143",3,1,5,1,3,4,4,3,5,2,2,5,5,2,,,
,,,,,,,,,,,,,,,,,,
,5387106851,person,casual_game,wilderness,pictorial representation,close-up,vasoconstrictor,nox,sky,location,property,practice,causal agent,demeanor,place,,,
,"3,0714285714",1,4,5,3,1,5,4,2,2,4,4,3,3,2,,,
,,,,,,,,,,,,,,,,,,
,2256297716,location,place,populatedplace,hour,pictorial representation,wilderness,bank,riverbank,sunset_provision,eukaryote,elbe,repose,,,,,
,"2,6666666667",1,1,2,2,3,3,5,1,3,5,3,3,,,,,
,,,,,,,,,,,,,,,,,,
,"3,114659197","2,2",3,"3,2",,,,,,,,,,,,,,
