Image annotation evaluation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,
,,5,3,2,5,1,1,2,,,,,,
,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,
,6525593129,eukaryote,practice,species,traffic pattern,design,pictorial representation,pattern,blueprint,plan,form,pteridophyte,,
,"3,0909090909",1,4,1,5,2,2,5,5,4,2,3,,
,,,,,,,,,,,,,,
,5601864345,person,time unit,person,exile,sidereal time,undertaking,pictorial representation,wilderness,adult,transportation system,facility,transport,charge
,"2,3846153846",1,5,3,1,3,2,1,1,2,2,2,5,3
,,,,,,,,,,,,,,
,5141024618,location,place,populatedplace,person,exile,pictorial representation,wilderness,transportation system,nox,facility,transport,,
,"3,3636363636",3,1,1,4,2,3,5,5,3,5,5,,
,,,,,,,,,,,,,,
,8006610425,time unit,person,exile,sidereal time,woody plant,pictorial representation,wilderness,photography,transportation system,facility,transport,,
,"3,9090909091",5,4,4,5,5,2,5,1,4,3,5,,
,,,,,,,,,,,,,,
,4086444074,woody plant,pictorial representation,wilderness,light,eukaryote,photography,confusion,location,daze,,,,
,"2,8888888889",1,4,2,2,5,1,2,4,5,,,,
,,,,,,,,,,,,,,
,"3,1274281274","2,2","3,6","2,2",,,,,,,,,,
