Image annotation evaluation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,
,,5,3,2,5,1,1,2,,,,,,
,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,
,7255597040,shepherd dog,domestic animal,animal,organism,working dog,pictorial representation,living thing,structure,dog,part,canine,carnivore,
,"2,4166666667",1,2,1,3,2,3,3,3,1,5,2,3,
,,,,,,,,,,,,,,
,4833815563,amphibian,living thing,whole,vertebrate,concept,object,content,physical entity,chordate,idea,,,
,"2,2",1,3,5,3,2,1,1,3,2,1,,,
,,,,,,,,,,,,,,
,6852830559,person,populatedplace,place,location,physical phenomenon,organism,causal agent,energy,physical entity,attribute,representation,good health,
,"2,5833333333",2,1,3,3,2,2,2,4,3,3,3,3,
,,,,,,,,,,,,,,
,2093319410,content,state,attribute,artifact,activity,political unit,representation,abstraction,creation,entity,,,
,"2,9",3,3,3,3,3,3,3,2,3,3,,,
,,,,,,,,,,,,,,
,9493342274,person,owl#thing,causal agent,organism,null,physical entity,activity,whole,artifact,concept,act,object,idea
,"2,8461538462",1,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,
,"2,5892307692","1,6","2,4",3,,,,,,,,,,
