Image annotation evaluation,,,,,,,,,,,,,
,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,
,,5,3,2,5,1,1,2,,,,,
,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,
,7255597040,shepherd dog,domestic animal,animal,organism,working dog,pictorial representation,living thing,structure,dog,part,canine,carnivore
,"2,3333333333",2,2,1,3,3,3,1,4,1,5,1,2
,,,,,,,,,,,,,
,8609534738,organism,building complex,owl#thing,vascular plant,measure,living thing,cognition,structure,whole,artifact,,
,"3,7",3,5,3,4,4,2,4,4,4,4,,
,,,,,,,,,,,,,
,8255144372,physical phenomenon,owl#thing,activity,abstraction,representation,cognition,entity,act,content,part,creation,
,"3,3636363636",2,3,4,4,2,3,3,4,4,4,4,
,,,,,,,,,,,,,
,2377552035,person,populatedplace,place,location,organism,causal agent,structure,physical entity,activity,living thing,,
,"3,3",2,5,5,5,3,3,3,2,3,2,,
,,,,,,,,,,,,,
,5625061687,place,location,populatedplace,stream,owl#thing,topographic point,body of water,entity,cognition,artifact,,
,"2,5",1,1,2,1,3,4,4,3,3,3,,
,,,,,,,,,,,,,
,"3,0393939394",2,"3,2",3,,,,,,,,,
