Image annotation evaluation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,
,,5,3,2,5,1,1,2,,,,,,
,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,
,4490899335,stroke,time unit,action,person,sidereal time,pictorial representation,wilderness,day,soil,location,,,
,4,5,5,5,5,5,5,2,1,4,3,,,
,,,,,,,,,,,,,,
,2542394765,tract,time unit,person,sidereal time,pictorial representation,wilderness,eukaryote,facility,location,sidereal day,,,
,"3,4",3,5,5,5,5,1,2,2,3,3,,,
,,,,,,,,,,,,,,
,5601864345,person,time unit,person,exile,sidereal time,undertaking,pictorial representation,wilderness,adult,transportation system,facility,transport,charge
,"2,5384615385",1,5,3,1,5,2,5,1,1,1,5,1,2
,,,,,,,,,,,,,,
,3626704428,time unit,person,sidereal time,pictorial representation,wilderness,light,germany,butterfly,k,eukaryote,insect,,
,"2,9090909091",5,5,5,5,1,1,1,1,5,2,1,,
,,,,,,,,,,,,,,
,5846375542,pictorial representation,close-up,solid,originality,germany,discourtesy,location,folly,home plate,crust,,,
,"2,3",5,1,2,1,1,3,5,3,1,1,,,
,,,,,,,,,,,,,,
,"3,0295104895","3,8","4,2",4,,,,,,,,,,
