Image annotation evaluation,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,,,,,
To achieve that simply answer this question : « Does this tag describe the image ? »,,,,,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,,,,,
,,5,3,2,5,1,1,2,,,,,,,,
,,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,,,,,
,4458762981,Span (architecture),Nonbuilding structure,Human settlement,City,Constitution,Slovakia,Burn (topography),Rill,Jurisdiction,Urban design,Moravia,Publishing,Vault (architecture),Freshwater,Administrative region
,"2,0666666667",1,1,1,1,3,3,1,2,3,2,3,3,2,2,3
,,,,,,,,,,,,,,,,
,2324065607,Botany,Rodent,Tree squirrel,Organism,British English,Plant,Trunk (botany),Introduced species,Omnivore,Secondary growth,Chipmunk,,,,
,"1,9090909091",1,1,1,2,3,2,2,3,2,3,1,,,,
,,,,,,,,,,,,,,,,
,5951813930,The Hague,Poultry,States General of the Netherlands,Carriage,Benz Patent-Motorwagen,Commodity,Cabinet of the Netherlands,Amsterdam,Domestication,,,,,,
,4,5,5,5,2,2,5,5,5,2,,,,,,
,,,,,,,,,,,,,,,,
,4086444074,Electromagnetic radiation,Light,Horizon,Sun,Secondary growth,Animals,Diffuse reflection,Archaea,States of Germany,,,,,,
,3,5,1,1,1,4,5,2,5,3,,,,,,
,,,,,,,,,,,,,,,,
,4097448531,The Hague,Art,Meter (music),States General of the Netherlands,Timbre,Maritime boundary,Harmony,Caribbean,,,,,,,
,4,5,1,3,5,5,5,3,5,,,,,,,
,,,,,,,,,,,,,,,,
,"2,9951515152","3,4","1,8","2,2",,,,,,,,,,,,
