Image annotation evaluation,,,,,,,,,,,,
,,,,,,,,,,,,
In addition to this evaluation file I sent you several HTML files containing the pictures themselves as well as their initial tags.,,,,,,,,,,,,
,,,,,,,,,,,,
Your role here is to evaluate each tag which has been generated by one of my algorithms.,,,,,,,,,,,,
,,,,,,,,,,,,
To achieve that simply answer this question��: �� Does this tag describe the image��?����,,,,,,,,,,,,
,,,,,,,,,,,,
Scale : ,,,,,,,,,,,,
,,,,,,,,,,,,
1 : Strongly Agree,,,,,,,,,,,,
,,,,,,,,,,,,
2 : Agree,,,,,,,,,,,,
,,,,,,,,,,,,
3 : Undecided,,,,,,,,,,,,
,,,,,,,,,,,,
4 : Disagree,,,,,,,,,,,,
,,,,,,,,,,,,
5 : Strongly Disagree,,,,,,,,,,,,
,,,,,,,,,,,,
,Example,Example,Example,Example,Example,Example,Example,Example,,,,
,,,,,,,,,,,,
,ID_image, tag1, tag2, tag3, tag4, tag5, tag6, tag7,,,,
,,,,,,,,,,,,
,,5,3,2,5,1,1,2,,,,
,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,,
,---------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,,
,8609534738,organism,building complex,owl#thing,vascular plant,measure,living thing,cognition,structure,whole,artifact,
,"3,9",2,5,5,4,5,2,5,3,3,5,
,,,,,,,,,,,,
,5756965251,tract,hour,beginning,clock time,state,property,reading,datum,information,message,
,"4,3",5,4,2,3,4,5,5,5,5,5,
,,,,,,,,,,,,
,6583459523,owl#thing,state,attribute,measure,abstraction,null,political unit,point,act,cognition,artifact
,"4,6363636364",5,5,5,5,5,3,5,5,5,3,5
,,,,,,,,,,,,
,4104637153,property,happening,owl#thing,attribute,concept,null,possession,material,relation,substance,
,"3,3",1,5,5,5,2,3,5,3,3,1,
,,,,,,,,,,,,
,6709238675,populatedplace,place,location,atmospheric phenomenon,state,representation,physical phenomenon,activity,content,creation,
,"2,4",5,1,1,1,3,2,1,3,3,4,
,,,,,,,,,,,,
,"3,7072727273","3,6",4,"3,6",,,,,,,,
